sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
T59,Macrophage,COX6B2,1617,0,0.0,
T59,Luminal epithelial cell,COX6B2,193,0,0.0,
T59,Microglial cell,COX6B2,1777,2,0.0011254924029262803,10.0
T59,Epithelial cell,COX6B2,4081,21,0.005145797598627788,7.701976960805671
T59,Fibroblast,COX6B2,1872,4,0.002136752136752137,9.644262273003244
T59,T cell,COX6B2,2783,6,0.0021559468199784403,10.0
T59,Endothelial cell,COX6B2,268,0,0.0,
T59,Plasmacytoid dendritic cell,COX6B2,107,0,0.0,
T59,B cell,COX6B2,271,1,0.0036900369003690036,10.0
T59,Natural killer (NK) cell,COX6B2,512,0,0.0,
T59,Mesenchymal cell,COX6B2,131,1,0.007633587786259542,10.0
T59,Dendritic cell,COX6B2,858,0,0.0,
T59,Plasma cell,COX6B2,135,1,0.007407407407407408,8.26248373472285
T59,Macrophage,CTCFL,1617,29,0.017934446505875078,4.595317014012997
T59,Luminal epithelial cell,CTCFL,193,57,0.29533678756476683,1.9390374594740325
T59,Microglial cell,CTCFL,1777,63,0.03545301069217783,3.1479082379008756
T59,Epithelial cell,CTCFL,4081,1168,0.2862043616760598,2.35129810981084
T59,Fibroblast,CTCFL,1872,83,0.04433760683760684,2.5119793782112922
T59,T cell,CTCFL,2783,42,0.015091627739849083,5.757126746151544
T59,Endothelial cell,CTCFL,268,14,0.05223880597014925,2.6786787081606573
T59,Plasmacytoid dendritic cell,CTCFL,107,2,0.018691588785046728,4.123495387409665
T59,B cell,CTCFL,271,6,0.02214022140221402,4.880605952871623
T59,Natural killer (NK) cell,CTCFL,512,3,0.005859375,5.952770746212081
T59,Mesenchymal cell,CTCFL,131,4,0.030534351145038167,4.727611386817646
T59,Dendritic cell,CTCFL,858,17,0.019813519813519812,3.4685948466043444
T59,Plasma cell,CTCFL,135,7,0.05185185185185185,2.840809598655031
T59,Macrophage,PIWIL2,1617,1,0.0006184291898577613,10.0
T59,Luminal epithelial cell,PIWIL2,193,0,0.0,
T59,Microglial cell,PIWIL2,1777,2,0.0011254924029262803,10.0
T59,Epithelial cell,PIWIL2,4081,5,0.0012251899044351876,9.199278569460185
T59,Fibroblast,PIWIL2,1872,4,0.002136752136752137,9.775765856580342
T59,T cell,PIWIL2,2783,1,0.00035932446999640676,10.0
T59,Endothelial cell,PIWIL2,268,1,0.0037313432835820895,10.0
T59,Plasmacytoid dendritic cell,PIWIL2,107,0,0.0,
T59,B cell,PIWIL2,271,0,0.0,
T59,Natural killer (NK) cell,PIWIL2,512,0,0.0,
T59,Mesenchymal cell,PIWIL2,131,0,0.0,
T59,Dendritic cell,PIWIL2,858,1,0.0011655011655011655,10.0
T59,Plasma cell,PIWIL2,135,0,0.0,
T59,Macrophage,POTEE,1617,0,0.0,
T59,Luminal epithelial cell,POTEE,193,0,0.0,
T59,Microglial cell,POTEE,1777,0,0.0,
T59,Epithelial cell,POTEE,4081,2,0.000490075961774075,10.0
T59,Fibroblast,POTEE,1872,0,0.0,
T59,T cell,POTEE,2783,2,0.0007186489399928135,10.0
T59,Endothelial cell,POTEE,268,0,0.0,
T59,Plasmacytoid dendritic cell,POTEE,107,0,0.0,
T59,B cell,POTEE,271,0,0.0,
T59,Natural killer (NK) cell,POTEE,512,0,0.0,
T59,Mesenchymal cell,POTEE,131,0,0.0,
T59,Dendritic cell,POTEE,858,0,0.0,
T59,Plasma cell,POTEE,135,0,0.0,
T59,Macrophage,SYCE1,1617,0,0.0,
T59,Luminal epithelial cell,SYCE1,193,0,0.0,
T59,Microglial cell,SYCE1,1777,1,0.0005627462014631402,10.0
T59,Epithelial cell,SYCE1,4081,1,0.0002450379808870375,10.0
T59,Fibroblast,SYCE1,1872,2,0.0010683760683760685,10.0
T59,T cell,SYCE1,2783,4,0.001437297879985627,10.0
T59,Endothelial cell,SYCE1,268,0,0.0,
T59,Plasmacytoid dendritic cell,SYCE1,107,0,0.0,
T59,B cell,SYCE1,271,1,0.0036900369003690036,10.0
T59,Natural killer (NK) cell,SYCE1,512,0,0.0,
T59,Mesenchymal cell,SYCE1,131,1,0.007633587786259542,10.0
T59,Dendritic cell,SYCE1,858,0,0.0,
T59,Plasma cell,SYCE1,135,0,0.0,
