sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
16030X2_HJVMLDMXX,Mitotic fetal germ cell,CTCFL,691,10,0.01447178002894356,4.451914731809474
16030X2_HJVMLDMXX,Natural killer (NK) cell,CTCFL,452,3,0.00663716814159292,7.14000775440737
16030X2_HJVMLDMXX,Epithelial cell,CTCFL,689,37,0.05370101596516691,5.736014033088283
16030X2_HJVMLDMXX,Gonadal mitotic phase fetal germ cell,CTCFL,385,1,0.0025974025974025974,5.11358850267103
16030X2_HJVMLDMXX,Luminal progenitor cell,CTCFL,1096,16,0.014598540145985401,3.3392264047955518
16030X2_HJVMLDMXX,Zygote,CTCFL,2032,10,0.004921259842519685,9.361388052963068
16030X2_HJVMLDMXX,T cell,CTCFL,212,0,0.0,
16030X2_HJVMLDMXX,Mitotic arrest phase fetal germ cell,CTCFL,377,9,0.023872679045092837,3.55899279566669
16030X2_HJVMLDMXX,Dendritic cell,CTCFL,202,0,0.0,
16030X2_HJVMLDMXX,Epithelial-mesenchymal cell,CTCFL,94,0,0.0,
16030X2_HJVMLDMXX,Mesenchymal cell,CTCFL,94,1,0.010638297872340425,3.9109535423777655
16030X2_HJVMLDMXX,Plasmacytoid dendritic cell,CTCFL,49,0,0.0,
16030X2_HJVMLDMXX,Mitotic fetal germ cell,DDX43,691,0,0.0,
16030X2_HJVMLDMXX,Natural killer (NK) cell,DDX43,452,0,0.0,
16030X2_HJVMLDMXX,Epithelial cell,DDX43,689,0,0.0,
16030X2_HJVMLDMXX,Gonadal mitotic phase fetal germ cell,DDX43,385,0,0.0,
16030X2_HJVMLDMXX,Luminal progenitor cell,DDX43,1096,1,0.0009124087591240876,10.0
16030X2_HJVMLDMXX,Zygote,DDX43,2032,0,0.0,
16030X2_HJVMLDMXX,T cell,DDX43,212,1,0.0047169811320754715,10.0
16030X2_HJVMLDMXX,Mitotic arrest phase fetal germ cell,DDX43,377,0,0.0,
16030X2_HJVMLDMXX,Dendritic cell,DDX43,202,3,0.01485148514851485,10.0
16030X2_HJVMLDMXX,Epithelial-mesenchymal cell,DDX43,94,0,0.0,
16030X2_HJVMLDMXX,Mesenchymal cell,DDX43,94,0,0.0,
16030X2_HJVMLDMXX,Plasmacytoid dendritic cell,DDX43,49,0,0.0,
16030X2_HJVMLDMXX,Mitotic fetal germ cell,DMRT1,691,1,0.001447178002894356,9.158439789571185
16030X2_HJVMLDMXX,Natural killer (NK) cell,DMRT1,452,2,0.004424778761061947,10.0
16030X2_HJVMLDMXX,Epithelial cell,DMRT1,689,0,0.0,
