sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Geistlinger2020,Macrophage,LY6K,3972,12,0.0030211480362537764,3.514274927672018
Geistlinger2020,Luminal epithelial cell,LY6K,2358,70,0.029686174724342665,1.4060013474062256
Geistlinger2020,Fibroblast,LY6K,5549,35,0.006307442782483331,1.8988772160483087
Geistlinger2020,T cell,LY6K,7274,343,0.04715424800659884,3.965932995422423
Geistlinger2020,Endothelial cell,LY6K,865,64,0.07398843930635839,2.206497593322969
Geistlinger2020,Plasmacytoid dendritic cell,LY6K,602,2,0.0033222591362126247,1.5296245679023048
Geistlinger2020,Epithelial cell,LY6K,1367,66,0.048280907095830286,2.084619002301435
Geistlinger2020,Natural killer (NK) cell,LY6K,598,12,0.020066889632107024,4.174121307483559
Geistlinger2020,Mesenchymal cell,LY6K,1382,25,0.01808972503617945,2.5607765752335983
Geistlinger2020,B cell,LY6K,527,17,0.03225806451612903,3.738270125180909
Geistlinger2020,Plasma cell,LY6K,686,196,0.2857142857142857,1.6247819133527872
Geistlinger2020,Dendritic cell,LY6K,1393,9,0.006460875807609476,2.1147586726274077
Geistlinger2020,Oocyte,LY6K,1504,733,0.48736702127659576,3.9994873696770177
Geistlinger2020,Neural tube cell,LY6K,3091,4,0.0012940795858945326,4.3728235706285625
Geistlinger2020,Monocyte,LY6K,2187,178,0.08139003200731595,2.1775885330313107
Geistlinger2020,Luminal progenitor cell,LY6K,323,4,0.01238390092879257,0.7669530013612246
Geistlinger2020,Granulosa cell,LY6K,112,0,0.0,
Geistlinger2020,Migration phase fetal germ cell,LY6K,216,65,0.30092592592592593,1.0102175894707741
Geistlinger2020,Mitotic fetal germ cell,LY6K,1130,1005,0.8893805309734514,2.9963825966620607
Geistlinger2020,Macrophage,PBK,3972,81,0.02039274924471299,6.414455081270982
Geistlinger2020,Luminal epithelial cell,PBK,2358,424,0.179813401187447,3.3990696749232097
Geistlinger2020,Fibroblast,PBK,5549,89,0.016038925932600468,4.981469608067625
Geistlinger2020,T cell,PBK,7274,91,0.012510310695628265,7.471804740551605
Geistlinger2020,Endothelial cell,PBK,865,16,0.018497109826589597,4.357033946616015
Geistlinger2020,Plasmacytoid dendritic cell,PBK,602,6,0.009966777408637873,5.323323835623523
Geistlinger2020,Epithelial cell,PBK,1367,116,0.08485735186539868,6.259262143215071
Geistlinger2020,Natural killer (NK) cell,PBK,598,5,0.008361204013377926,8.719743799684544
Geistlinger2020,Mesenchymal cell,PBK,1382,26,0.01881331403762663,4.960872693625344
Geistlinger2020,B cell,PBK,527,6,0.011385199240986717,8.182464707549451
Geistlinger2020,Plasma cell,PBK,686,15,0.021865889212827987,2.8813351571978996
Geistlinger2020,Dendritic cell,PBK,1393,10,0.007178750897343862,3.374079071188176
Geistlinger2020,Oocyte,PBK,1504,98,0.06515957446808511,5.245454532440159
Geistlinger2020,Neural tube cell,PBK,3091,6,0.0019411193788417987,10.0
Geistlinger2020,Monocyte,PBK,2187,10,0.004572473708276178,4.101575952051959
Geistlinger2020,Luminal progenitor cell,PBK,323,8,0.02476780185758514,2.6825964667256406
Geistlinger2020,Granulosa cell,PBK,112,3,0.026785714285714284,4.01171635706796
Geistlinger2020,Migration phase fetal germ cell,PBK,216,23,0.10648148148148148,1.9080061842315497
Geistlinger2020,Mitotic fetal germ cell,PBK,1130,80,0.07079646017699115,1.958995080948067
Izar2020,Microglial cell,GAGE1,1588,0,0.0,
Izar2020,Fibroblast,GAGE1,1576,0,0.0,
Izar2020,Squamous cell,GAGE1,1086,0,0.0,
Izar2020,Erythrocyte,GAGE1,106,0,0.0,
Izar2020,CD8+ T cell,GAGE1,72,0,0.0,
Izar2020,Epithelial cell,GAGE1,153,12,0.0784313725490196,9.277993068657443
Izar2020,Luminal progenitor cell,GAGE1,141,1,0.0070921985815602835,6.545657952128599
Izar2020,Zygote,GAGE1,120,0,0.0,
Izar2020,Plasmacytoid dendritic cell,GAGE1,403,0,0.0,
Izar2020,Natural killer (NK) cell,GAGE1,132,0,0.0,
Izar2020,Dendritic cell,GAGE1,760,0,0.0,
Izar2020,Lymphoid progenitor cell,GAGE1,714,0,0.0,
Izar2020,Neutrophil,GAGE1,439,0,0.0,
Izar2020,Macrophage,GAGE1,571,0,0.0,
